"Time stamp";"Relative time";"Indication";"Value";"Quality";"Additional information";
"13.04.2026 09:37:20.867";"00:00:00:04.638";"Recording:Fault recorder:Control:Record made";"off";"good (process)";"Data change";
"13.04.2026 09:37:20.668";"00:00:00:04.439";"Recording:Fault recorder:Control:Record made";"on";"good (process)";"Data change";
"13.04.2026 09:37:19.637";"00:00:00:03.408";"Recording:Fault recorder:Control:Recording started";"off";"good (process)";"Data change";
"13.04.2026 09:37:17.012";"00:00:00:00.783";"DJ138kV:Circuit break.:Definitive trip";"off";"good (process)";"Data change";
"13.04.2026 09:37:17.012";"00:00:00:00.783";"DJ289kV:Circuit break.:Definitive trip";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.986";"00:00:00:00.757";"Power system:TC 138kV:Supv. balan. I:Inactive";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.986";"00:00:00:00.757";"Power system:TC 289kV:Supv. balan. I:Inactive";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.986";"00:00:00:00.757";"Power system:TC 138kV:Supv. ph.seq.I:Inactive";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.986";"00:00:00:00.757";"Power system:TC 289kV:Supv. ph.seq.I:Inactive";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.983";"00:00:00:00.754";"Power system:FrqTrackGrp:Freq.out of oper.range";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.860";"00:00:00:00.631";"Power system:TC 138kV:Supv. balan. I:Inactive";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.860";"00:00:00:00.631";"Power system:TC 289kV:Supv. balan. I:Inactive";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.860";"00:00:00:00.631";"Power system:TC 138kV:Supv. ph.seq.I:Inactive";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.860";"00:00:00:00.631";"Power system:TC 289kV:Supv. ph.seq.I:Inactive";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.858";"00:00:00:00.629";"Power system:FrqTrackGrp:Freq.out of oper.range";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.835";"00:00:00:00.606";"Power system:TC 138kV:Supv. balan. I:Inactive";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.835";"00:00:00:00.606";"Power system:TC 289kV:Supv. balan. I:Inactive";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.835";"00:00:00:00.606";"Power system:TC 138kV:Supv. ph.seq.I:Inactive";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.835";"00:00:00:00.606";"Power system:TC 289kV:Supv. ph.seq.I:Inactive";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.833";"00:00:00:00.604";"Power system:FrqTrackGrp:Freq.out of oper.range";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.678";"00:00:00:00.449";"Power system:TC 138kV:Supv. ph.seq.I:Inactive";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.678";"00:00:00:00.449";"Power system:TC 289kV:Supv. ph.seq.I:Inactive";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.677";"00:00:00:00.448";"Power system:TC 138kV:Supv. balan. I:Inactive";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.677";"00:00:00:00.448";"Power system:TC 289kV:Supv. balan. I:Inactive";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.675";"00:00:00:00.446";"Power system:FrqTrackGrp:Freq.out of oper.range";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.637";"00:00:00:00.408";"Recording:Fault recorder:Control:>External start";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.637";"00:00:00:00.408";"WEG:VI:Partida oscilo MU";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.636";"00:00:00:00.407";"WEG:BI:BI1.1";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.582";"00:00:00:00.353";"DJ138kV:Circuit break.:Trip/open cmd.";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.553";"00:00:00:00.324";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Group indicat.:Pickup";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.553";"00:00:00:00.324";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Group indicat.:Operate";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.552";"00:00:00:00.323";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Definite-T 1:Operate delay expired";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.552";"00:00:00:00.323";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Definite-T 1:Pickup";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.552";"00:00:00:00.323";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Definite-T 1:Operate";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.552";"00:00:00:00.323";"Lado 13,8kV:Group indicat.:Operate";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.552";"00:00:00:00.323";"DJ289kV:Trip logic:Trip indication";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.552";"00:00:00:00.323";"DJ138kV:Trip logic:Trip indication";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.552";"00:00:00:00.323";"Lado 13,8kV:Group indicat.:Pickup";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.552";"00:00:00:00.323";"DJ289kV:Circuit break.:Trip/open cmd.";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.532";"00:00:00:00.303";"DJ289kV:Circuit break.:Position";"SPN open";"good (process)";"Data change";
"13.04.2026 09:37:16.532";"00:00:00:00.303";"DJ289kV:Control:Cmd. with feedback";"SPN open";"good (process)";"Data change / process";
"13.04.2026 09:37:16.532";"00:00:00:00.303";"DJ289kV:Circuit break.:Op.ct.";"20";"good (process)";"Data change";
"13.04.2026 09:37:16.530";"00:00:00:00.301";"DJ289kV:Control:Cmd. with feedback";"SPN intermediate";"good (process)";"Data change / process";
"13.04.2026 09:37:16.529";"00:00:00:00.300";"DJ289kV:Circuit break.:Position";"SPN intermediate";"good (process)";"Data change";
"13.04.2026 09:37:16.528";"00:00:00:00.299";"WEG:BI:BI1.2";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.527";"00:00:00:00.298";"WEG:BI:BI2.1";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.512";"00:00:00:00.283";"DJ138kV:Circuit break.:Definitive trip";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.512";"00:00:00:00.283";"DJ289kV:Circuit break.:Definitive trip";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.483";"00:00:00:00.254";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Group indicat.:Operate";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.482";"00:00:00:00.253";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Definite-T 1:Operate delay expired";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.482";"00:00:00:00.253";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Definite-T 1:Operate";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.482";"00:00:00:00.253";"DJ138kV:Trip logic:Trip indication";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.482";"00:00:00:00.253";"Lado 13,8kV:Group indicat.:Operate";"phs A,phs B,phs C";"good (process)";"Data change";
"13.04.2026 09:37:16.482";"00:00:00:00.253";"DJ138kV:Circuit break.:Trip/open cmd.";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.482";"00:00:00:00.253";"DJ289kV:Circuit break.:Trip/open cmd.";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.482";"00:00:00:00.253";"DJ289kV:Trip logic:Trip indication";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.455";"00:00:00:00.226";"Auto trf. diff. 1:87T diff. prot. 1:Group indicat.:Pickup";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.454";"00:00:00:00.225";"Auto trf. diff. 1:87T diff. prot. 1:I-DIFF:Pickup";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.454";"00:00:00:00.225";"Auto trf. diff. 1:Group indicat.:Pickup";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.439";"00:00:00:00.210";"Auto trf. diff. 1:87T diff. prot. 1:I-DIFF:Blocked by inrush";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.439";"00:00:00:00.210";"Auto trf. diff. 1:87T diff. prot. 1:I-DIFF:Blocked by 2.Harmon.";"off";"good (process)";"Data change";
"13.04.2026 09:37:16.435";"00:00:00:00.206";"Lado 13,8kV:Group indicat.:Pickup";"phs A,phs B,phs C";"good (process)";"Data change";
"13.04.2026 09:37:16.435";"00:00:00:00.206";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Group indicat.:Pickup";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.435";"00:00:00:00.206";"Recording:Fault recorder:Control:>External start";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.435";"00:00:00:00.206";"WEG:VI:Partida oscilo MU";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.434";"00:00:00:00.205";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Definite-T 1:Pickup";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.433";"00:00:00:00.204";"WEG:BI:BI1.1";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.259";"00:00:00:00.030";"General:Active settings group";"1";"good (process)";"Data update";
"13.04.2026 09:37:16.258";"00:00:00:00.029";"Auto trf. diff. 1:87T diff. prot. 1:Group indicat.:Pickup";"phs A";"good (process)";"Data change";
"13.04.2026 09:37:16.257";"00:00:00:00.028";"Recording:Fault recorder:Control:Recording started";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.257";"00:00:00:00.028";"Recording:Fault recorder:Control:Fault number";"149";"good (process)";"Data change";
"13.04.2026 09:37:16.257";"00:00:00:00.028";"Auto trf. diff. 1:87T diff. prot. 1:I-DIFF:Pickup";"phs A";"good (process)";"Data change";
"13.04.2026 09:37:16.257";"00:00:00:00.028";"Auto trf. diff. 1:87T diff. prot. 1:I-DIFF:Blocked by 2.Harmon.";"phs A";"good (process)";"Data change";
"13.04.2026 09:37:16.257";"00:00:00:00.028";"Auto trf. diff. 1:Group indicat.:Pickup";"phs A";"good (process)";"Data change";
"13.04.2026 09:37:16.257";"00:00:00:00.028";"Auto trf. diff. 1:87T diff. prot. 1:I-DIFF:Blocked by inrush";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.237";"00:00:00:00.008";"DJ289kV:Circuit break.:Position";"SPN closed";"good (process)";"Data change";
"13.04.2026 09:37:16.237";"00:00:00:00.008";"DJ289kV:Control:Cmd. with feedback";"SPN closed";"good (process)";"Data change / process";
"13.04.2026 09:37:16.237";"00:00:00:00.008";"DJ289kV:Circuit break.:Op.ct.";"19";"good (process)";"Data change";
"13.04.2026 09:37:16.235";"00:00:00:00.006";"DJ289kV:Control:Cmd. with feedback";"SPN intermediate";"good (process)";"Data change / process";
"13.04.2026 09:37:16.235";"00:00:00:00.006";"WEG:BI:BI2.1";"on";"good (process)";"Data change";
"13.04.2026 09:37:16.234";"00:00:00:00.005";"DJ289kV:Circuit break.:Position";"SPN intermediate";"good (process)";"Data change";
"13.04.2026 09:37:16.233";"00:00:00:00.004";"WEG:BI:BI1.2";"off";"good (process)";"Data change";

